Handle,SEO Title,SEO Description,Product Category
sticky-mats-24-x-36-inch,"Sticky Mats, 24 X 36 inch, 120/pack | Laguna Scientific","Sticky Mats, 24 X 36 inch, 120/pack from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Home & Garden > Household Supplies > Shoe Care & Tools > Shoe Care Kits
sticky-mats-18-x-36-inch,"Sticky Mats,18 X 36 inch, 120/pack | Laguna Scientific","Sticky Mats,18 X 36 inch, 120/pack from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Home & Garden > Household Supplies > Shoe Care & Tools > Shoe Care Kits
aami-level-1-isolation-gowns-yellow-100-case,Yellow Isolation Gowns - Disposable 100/Case | Laguna Scientific,Yellow Isolation Gowns - Disposable 100/Case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Medical > Hospital Gowns
surgical-cap-24-inch-500-case,Surgical Cap 24 inch 500/case | Laguna Scientific,"Surgical Cap 24 inch 500/case from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Scrub Caps
bouffant-cap-24-inch-1000-case,Bouffant Cap 24 inch 1000/case | Laguna Scientific,"Bouffant Cap 24 inch 1000/case from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Scrub Caps
smart-glow-ld-loading-dye-1-ml,Smart Glow LD (Loading Dye) 1 ml | Laguna Scientific,"Smart Glow LD (Loading Dye) 1 ml from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
50-ml-self-standing-conical-tubes-sterile-bulk-500-case,"50 ml Self Standing Conical Tubes, Sterile, BULK | Laguna Scientific","50 ml Self Standing Conical Tubes, Sterile, BULK, 500/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
agarose-le-low-eeo-powder-1000-gm-molecular-biology-grade,"Low EEO Agarose Tablets, Pack of 1000 Tablets | Laguna Scientific","Low EEO Agarose Tablets, Pack of 1000 Tablets from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
agarose-le-low-eeo-powder-200-gm-molecular-biology-grade,"Low EEO Agarose Tablets, Pack of 200 Tablets | Laguna Scientific","Low EEO Agarose Tablets, Pack of 200 Tablets from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
agarose-le-low-eeo-powder-100-gm-molecular-biology-grade,"Agarose LE (Low EEO) powder, 500 gm | Laguna Scientific","Agarose LE (Low EEO) powder, 500 gm, Molecular biology grade from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
refill-96-refill-10-refills-case,"10 µl Pipette Tips, No RNase, DNase, Endotoxin | Laguna Scientific","10 µl Pipette Tips, No RNase, DNase, Endotoxin from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
bulk-1000-bag-1,"10 µl Pipette Tips, No RNase, DNase, Endotoxin | Laguna Scientific","10 µl Pipette Tips, No RNase, DNase, Endotoxin from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
17-x-100-mm-culture-tubes-polystyrene-500-case,17 X 100 mm Culture Tubes Polystyrene 500/case | Laguna Scientific,17 X 100 mm Culture Tubes Polystyrene 500/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
17-x-100-mm-culture-tubes-polypropylene-500-case,17 X 100 mm Culture Tubes Polypropylene 500/case | Laguna Scientific,17 X 100 mm Culture Tubes Polypropylene 500/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
12-x-75-mm-culture-tubes-polystyrene-500-case,12 X 75 mm Culture Tubes Polystyrene 500/case | Laguna Scientific,12 X 75 mm Culture Tubes Polystyrene 500/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
12-x-75-mm-culture-tubes-polypropylene-500-case,12 X 75 mm Culture Tubes Polypropylene 500/case | Laguna Scientific,12 X 75 mm Culture Tubes Polypropylene 500/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
polycarbonate-flasks-1000-ml-12-pack,Polycarbonate Flasks 1000 ml 6/pack | Laguna Scientific,"Polycarbonate Flasks 1000 ml 6/pack from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Laboratory Flasks > Buchner Laboratory Flasks
polycarbonate-flasks-500-ml-12-pack,Polycarbonate Flasks 500 ml 6/pack | Laguna Scientific,"Polycarbonate Flasks 500 ml 6/pack from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Laboratory Flasks > Buchner Laboratory Flasks
polycarbonate-flasks-250-ml-12-pack,Polycarbonate Flasks 250 ml 12/pack | Laguna Scientific,"Polycarbonate Flasks 250 ml 12/pack from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Laboratory Flasks > Buchner Laboratory Flasks
30-mm-sterile-syringe-filters-pes-0-22-µm-pore-size-sterile-45-box,30 mm Sterile Syringe Filters PES 0.22 µm Pore Size | Laguna Scientific,30 mm Sterile Syringe Filters PES 0.22 µm Pore Size Sterile from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
13-mm-sterile-syringe-filters-pes-0-22-µm-pore-size-sterile-100-box,13 mm Sterile Syringe Filters PES 0.22 µm Pore Size | Laguna Scientific,13 mm Sterile Syringe Filters PES 0.22 µm Pore Size Sterile from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
50-ml-serological-pipettes-individually-wrapped-sterile-100-case,"50 ml Serological Pipettes, individually wrapped | Laguna Scientific","50 ml Serological Pipettes, individually wrapped from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
25-ml-serological-pipettes-individually-wrapped-sterile-150-case,"25 ml Serological Pipettes, individually wrapped | Laguna Scientific","25 ml Serological Pipettes, individually wrapped from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
10-ml-serological-pipettes-individually-wrapped-sterile-200-case,"10 ml Serological Pipettes, individually wrapped | Laguna Scientific","10 ml Serological Pipettes, individually wrapped from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
5-ml-serological-pipettes-individually-wrapped-sterile-200-case,"5 ml Serological Pipettes, individually wrapped | Laguna Scientific","5 ml Serological Pipettes, individually wrapped from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
fetal-serum-bovine-heat-inactivated-500-ml-sterile-us-origin,"Fetal Bovine Serum, Heat Inactivated | Laguna Scientific","Fetal Bovine Serum, Heat Inactivated, 500 ml Sterile from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Chemicals
fetal-serum-bovine-500-ml-sterile-us-origin,"Fetal Bovine Serum, 500 ml/bottle, Sterile | Laguna Scientific","Fetal Bovine Serum, 500 ml/bottle, Sterile, US origin from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Chemicals
fetal-serum-bovine-100-ml-sterile-us-origin,"Fetal Bovine Serum, 100 ml/bottle, Sterile | Laguna Scientific","Fetal Bovine Serum, 100 ml/bottle, Sterile, US origin from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Chemicals
2-0-ml-cryogenic-vials-100-box,"2.0 ml Cryo Vials, 100/box | Laguna Scientific","2.0 ml Cryo Vials, 100/box from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
1-5-ml-cryogenic-vials-100-box,"1.5 ml Cryo Vials, 100/box | Laguna Scientific","1.5 ml Cryo Vials, 100/box from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
cell-strainers-100-μm-pore-size-yellow-frame-sterile-50-box-1-pack,Cell Strainers 100 μm pore size yellow frame | Laguna Scientific,Cell Strainers 100 μm pore size yellow frame sterile 50/box from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
cell-strainers-70-μm-pore-size-white-frame-sterile-50-box-1-pack,Cell Strainers 70 μm pore size white frame sterile | Laguna Scientific,Cell Strainers 70 μm pore size white frame sterile 50/box from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
cell-strainers-40-μm-pore-size-blue-frame-sterile-50-box-1-pack,Cell Strainers 40 μm pore size blue frame sterile | Laguna Scientific,Cell Strainers 40 μm pore size blue frame sterile 50/box from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
two-edge-cell-lifter-flat-blade-and-j-hook-cell-scrapers-individually-wrapped-sterile-100-box,"Two Edge Cell Lifter, Flat Blade and J-Hook Cell | Laguna Scientific","Two Edge Cell Lifter, Flat Blade and J-Hook Cell Scrapers from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
30-cm-cell-scrapers-individually-wrapped-sterile-100-box,30 cm Cell Scrapers Individually Wrapped Sterile | Laguna Scientific,30 cm Cell Scrapers Individually Wrapped Sterile 100/box from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
24-cm-cell-scrapers-individually-wrapped-sterile-100-box-1,24 cm Cell Scrapers Individually Wrapped Sterile | Laguna Scientific,24 cm Cell Scrapers Individually Wrapped Sterile 100/box from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
182cm-culture-flask-vent-cap-40-case,182cm² Culture Flask - Vent Cap 40/case | Laguna Scientific,182cm² Culture Flask - Vent Cap 40/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Laboratory Flasks > Buchner Laboratory Flasks
75cm-culture-flask-vent-cap-100-case,75cm² Culture Flask - Vent Cap 100/case | Laguna Scientific,75cm² Culture Flask - Vent Cap 100/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Laboratory Flasks > Buchner Laboratory Flasks
25cm-culture-flask-vent-cap-200-case,25cm² Culture Flask - Vent Cap 200/case | Laguna Scientific,25cm² Culture Flask - Vent Cap 200/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Laboratory Flasks > Buchner Laboratory Flasks
150-mm-cell-culture-plates-100-case,150 mm Cell Culture Plates 100/case | Laguna Scientific,"150 mm Cell Culture Plates 100/case from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
100-mm-cell-culture-plates-300-case,100 mm Cell Culture Plates 300/case | Laguna Scientific,"100 mm Cell Culture Plates 300/case from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
polystyrene-2-ml-aspirating-pipettes-individually-wrapped-sterile-500-case,Polystyrene 2 ml Aspirating Pipettes | Laguna Scientific,"Polystyrene 2 ml Aspirating Pipettes, individually wrapped from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
polystyrene-9-inch-aspirating-pipettes-individually-wrapped-sterile-200-case,Polystyrene 9-inch Aspirating Pipettes | Laguna Scientific,Polystyrene 9-inch Aspirating Pipettes from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
polystyrene-5-75-inch-aspirating-pipettes-individually-wrapped-sterile-200-case,Polystyrene 5.75 inch Aspirating Pipettes | Laguna Scientific,Polystyrene 5.75 inch Aspirating Pipettes from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
polystyrene-spectrophotometer-clear-cuvettes-disposable-4-0-ml-100-case,Disposable Polystyrene Spectrophotometer 4.5 ml | Laguna Scientific,Disposable Polystyrene Spectrophotometer 4.5 ml with 4 from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment > Spectrometer Accessories
polystyrene-spectrophotometer-micro-cuvettes-disposable-1-5ml-100-case,Disposable Polystyrene Spectrophotometer 1.5 ml | Laguna Scientific,Disposable Polystyrene Spectrophotometer 1.5 ml Micro from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment > Spectrometer Accessories
heavy-duty-8-mil-nitrile-exam-12-powder-free-gloves-500-case-xxl,"Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free | Laguna Scientific","Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free Gloves from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
heavy-duty-8-mil-nitrile-exam-12-powder-free-gloves-500-case-extra-large,"Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free | Laguna Scientific","Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free Gloves from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
heavy-duty-8-mil-nitrile-exam-12-powder-free-gloves-500-case-large,"Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free | Laguna Scientific","Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free Gloves from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
heavy-duty-8-mil-nitrile-exam-12-powder-free-gloves-500-case-medium,"Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free | Laguna Scientific","Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free Gloves from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
heavy-duty-8-mil-nitrile-exam-12-powder-free-gloves-500-case-small,"Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free | Laguna Scientific","Heavy Duty 8 Mil Nitrile Exam 12"" Powder Free Gloves from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
black-nitrile-exam-gloves-powder-free-extra-large-6-mil-1000-box,"Black Nitrile Exam Gloves, Powder-Free | Laguna Scientific","Black Nitrile Exam Gloves, Powder-Free, Extra Large 6 mil from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
black-nitrile-exam-gloves-powder-free-large-6-mil-1000-box,"Black Nitrile Exam Gloves, Powder-Free | Laguna Scientific","Black Nitrile Exam Gloves, Powder-Free, Large 6 mil from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
black-nitrile-exam-gloves-powder-free-medium-6-mil-1000-box,"Black Nitrile Exam Gloves, Powder-Free | Laguna Scientific","Black Nitrile Exam Gloves, Powder-Free, Medium 6 mil from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
black-nitrile-exam-gloves-powder-free-small-6-mil-1000-box,"Black Nitrile Exam Gloves, Powder-Free | Laguna Scientific","Black Nitrile Exam Gloves, Powder-Free, Small 6 mil from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Medical > Medical Supplies > Disposable Gloves
