Handle,Title
copy-of-replacement-adapter-pack-0-5ml-6-pk,"Replacement adapter pack, 0.2ml 6/pk"
replacement-adapter-pack-0-5ml-6-pk,"Replacement adapter pack, 0.5ml 6/pk"
block-12-x-5ml-centrifuge-tubes-17mm-diameter,"Block, 12 x 5ml centrifuge tubes (17mm diameter)"
block-12x15-16mm-or-12x10ml-blood-tube,"Block, 12x15-16mm (or 12x10ml blood tube)"
block-20-x-13mm-or-20-x-5-7ml-blood-tube,"Block, 20 x 13mm (or 20 x 5/7ml blood tube)"
block-20-x-10mm-or-20-x-2-0ml,"Block, 20 x 10mm (or 20 x 2.0ml)"
block-12-x-15ml-block-height-3-25-in,"Block, 12 x 15ml (block height: 3.25 in.)"
block-24-x-0-5ml,"Block, 24 x 0.5ml"
quick-flip™-universal-block-side-1-holds-24-x-1-5ml-2-0ml-14-x-0-5ml-side-2-holds-6-x-pcr-strips-48-x-0-2ml-or-1-pcr-plate,"Quick-Flip™ Universal block Side 1: Holds: 24 x 1.5ml/2.0ml & 14 x 0.5ml Side 2: Holds: 6 x PCR strips, 48 x 0.2ml or 1 PCR Plate†"
bovine-serum-albumin-bsa,"Bovine Serum Albumin (BSA), Fraction V, Protease Free"
enduro™-uv-transilluminators,ENDURO™ UV Transilluminators
taq-polymerase-thermostable-dna-polymerase,"Taq Polymerase, (thermostable DNA polymerase)"
mini-incubator,Mini Incubator
transfer-pipettes,transfer Pipettes
pcr-reagents,PCR Reagents
chemicals,Chemicals
gel-loading-tips-flat-racked-200-tips-rack-4racks-box,"Gel loading Tips, round,  200 tips/ Rack;  4Racks/box"
vortex-mixer,Vortex Mixer
mini-labrollerrotator,Mini LabRollerRotator
gyromini-nutating-mixer,GyroMini Nutating Mixer
dntps-master-mix-100mm-25-mm-each-of-da-dc-dg-dt-1000-µl-tube,"dNTPs, Master Mix, (100mM, 25 mM each of dA, dC, dG, dT) 1000 µl / tube"
elisa-test-kits,ELISA Test Kits
